Phase,Task,Priority,Deadline,Status,Notes
🔥 当务之急,订洛杉矶往返檀香山机票 (LAX↔HNL),🔴 紧急,尽快 (8月上旬),未完成,8/16 21:50抵HNL，8/21 21:00飞离HNL
🔥 当务之急,预订 Sheraton Waikiki 酒店 (8/16-8/18 2晚),🔴 紧急,尽快 (8月上旬),未完成,海景房，无边泳池度假
🔥 当务之急,预订 Waikiki Malia 酒店 (8/18-8/21 3晚),🔴 紧急,尽快 (8月上旬),未完成,环岛结束后入住
🔥 当务之急,预订 Avis / Hertz 租车 (8/18早-8/20晚 3天),🔴 紧急,尽快 (8月上旬),未完成,Waikiki 门店取还车
🎟️ 预订抢票,预订古兰尼牧场 Kualoa Ranch (UTV / Jungle),🟠 高,提前 1 个月,未完成,热门 UTV Tour 极易售罄，需提前官网上锁
🎟️ 预订抢票,预订珍珠港 USS Arizona 纪念馆门票,🟠 高,提前 8 周 / 前一天15:00,未完成,Recreation.gov 抢票
🎟️ 预订抢票,预约钻石山 Diamond Head 登顶名额,🟡 中,提前 14 天 (8/7左右),未完成,预约 8/21 早晨 06:30 场次
🎟️ 预订抢票,抢恐龙湾 Hanauma Bay 门票,🔴 紧急,提前 2 天早7:00 (HST),未完成,8/16 早 7:00 (HST) 抢 8/18 (Day3) 门票
🧳 行前打包,检查护照有效期 & 驾照原件/翻译件,🟠 高,出发前 7 天,未完成,租车及机场安检必需
🧳 行前打包,采购 Reef-Safe 环保防晒霜 & 涉水鞋/面镜,🟡 中,出发前 3 天,未完成,夏威夷法律规定使用环保防晒
🧳 行前打包,打包夏日服饰、长裙、薄外套、充电宝,🟡 中,出发前 1 天 (8/15),未完成,防晒衣服与室内空调薄外套
✈️ 旅行期间,8/16 深夜抵达 HNL & 打车入住 Sheraton,🟢 低,8/16 22:30,未完成,机场 ABC Store 买水零食
✈️ 旅行期间,8/18 早前往 Waikiki Avis/Hertz 取车,🟠 高,8/18 08:30,未完成,开启 Day 3 东南岸自驾
✈️ 旅行期间,8/18 办理 Malia 入住 & 寄存行李,🟡 中,8/18 傍晚,未完成,退房 Sheraton，入住 Malia
✈️ 旅行期间,提前查好古兰尼牧场游玩注意事项与防晒,🟢 低,8/19 晚上,未完成,为 Day 5 古兰尼 UTV 做准备
✈️ 旅行期间,8/20 18:00 Waikiki 门店还车,🟠 高,8/20 18:00,未完成,加满油后顺畅还车
✈️ 旅行期间,8/21 18:30 酒店拿行李打车前往机场,🔴 紧急,8/21 18:30,未完成,预留 2h+ 办理登机手续
